Docno	QueryNum
clueweb09-enwp01-75-20596	1
clueweb09-enwp01-46-08867	1
clueweb09-enwp01-65-13288	1
clueweb09-enwp01-59-16165	1
clueweb09-enwp01-17-11114	1
clueweb09-enwp01-17-11113	1
clueweb09-enwp01-27-11404	1
clueweb09-enwp00-96-09495	1
clueweb09-enwp00-93-18081	1
clueweb09-enwp00-84-01453	1
clueweb09-enwp00-09-18461	1
clueweb09-enwp00-51-21575	1
clueweb09-enwp01-06-03485	1
clueweb09-enwp00-41-06215	1
clueweb09-enwp01-07-19014	1
clueweb09-enwp01-84-19320	1
clueweb09-enwp00-74-19320	1
clueweb09-enwp01-27-10275	1
clueweb09-enwp01-17-09993	1
clueweb09-enwp01-02-10086	1
clueweb09-enwp01-37-13399	1
clueweb09-enwp03-00-06901	1
clueweb09-enwp01-24-11888	1
clueweb09-enwp00-61-20162	1
clueweb09-enwp01-39-17275	1
clueweb09-enwp00-83-00422	1
clueweb09-en0010-93-11761	1
clueweb09-enwp00-44-01825	1
clueweb09-enwp01-20-01825	1
clueweb09-en0007-63-02101	1
clueweb09-enwp01-49-16274	1
clueweb09-enwp01-59-16163	1
clueweb09-enwp02-06-15081	1
clueweb09-enwp00-73-03600	1
clueweb09-enwp00-64-03709	1
clueweb09-enwp01-38-03709	1
clueweb09-enwp00-39-09864	1
clueweb09-enwp00-04-09625	1
clueweb09-enwp00-00-09498	1
clueweb09-enwp00-26-05310	1
clueweb09-enwp01-78-05310	1
clueweb09-enwp00-34-01973	1
clueweb09-enwp00-13-12487	1
clueweb09-enwp00-81-12487	1
clueweb09-enwp02-24-15735	1
clueweb09-enwp01-05-15735	1
clueweb09-enwp01-57-20785	1
clueweb09-enwp01-31-11362	1
clueweb09-en0001-02-21241	1
clueweb09-enwp03-07-02998	1
clueweb09-en0004-13-10615	2
clueweb09-enwp03-36-09316	2
clueweb09-en0007-67-15979	2
clueweb09-enwp00-72-20769	2
clueweb09-enwp00-67-20889	2
clueweb09-en0001-82-29492	2
clueweb09-enwp00-73-20643	2
clueweb09-enwp00-62-20587	2
clueweb09-en0004-03-39952	2
clueweb09-en0006-85-33142	2
clueweb09-en0002-45-00234	2
clueweb09-en0006-85-33143	2
clueweb09-en0006-85-33173	2
clueweb09-en0000-18-01910	2
clueweb09-en0002-28-00027	2
clueweb09-en0003-39-09826	2
clueweb09-en0006-85-33174	2
clueweb09-en0000-26-07350	2
clueweb09-en0011-28-14558	2
clueweb09-enwp00-70-20490	2
clueweb09-en0004-03-39951	2
clueweb09-en0006-85-33176	2
clueweb09-en0007-83-17354	2
clueweb09-en0006-85-33156	2
clueweb09-en0008-05-06644	2
clueweb09-en0011-89-08538	2
clueweb09-en0008-85-37761	2
clueweb09-en0011-94-22104	2
clueweb09-en0000-26-07257	2
clueweb09-en0006-85-33171	2
clueweb09-en0007-87-10952	2
clueweb09-en0006-85-33145	2
clueweb09-en0006-85-33180	2
clueweb09-en0004-35-37205	2
clueweb09-en0008-73-34552	2
clueweb09-en0006-85-33170	2
clueweb09-en0007-51-30791	2
clueweb09-en0008-60-13160	2
clueweb09-en0010-92-14636	2
clueweb09-en0003-54-26374	2
clueweb09-en0000-18-01413	2
clueweb09-en0006-85-33177	2
clueweb09-en0006-85-33161	2
clueweb09-en0002-28-00025	2
clueweb09-en0006-85-33164	2
clueweb09-en0006-85-33163	2
clueweb09-en0010-92-14638	2
clueweb09-enwp00-47-03373	2
clueweb09-en0006-85-33194	2
clueweb09-en0006-85-33181	2
clueweb09-en0002-44-10207	3
clueweb09-en0010-46-06195	3
clueweb09-en0010-05-31860	3
clueweb09-en0008-23-23180	3
clueweb09-en0001-94-09145	3
clueweb09-en0006-52-18759	3
clueweb09-en0006-79-15296	3
clueweb09-en0002-83-24045	3
clueweb09-en0008-14-03919	3
clueweb09-en0007-83-02961	3
clueweb09-en0007-83-02963	3
clueweb09-en0011-76-03385	3
clueweb09-en0004-45-15539	3
clueweb09-en0008-14-03927	3
clueweb09-en0002-44-10184	3
clueweb09-en0002-44-10183	3
clueweb09-en0010-00-31143	3
clueweb09-en0002-44-10182	3
clueweb09-en0007-83-02966	3
clueweb09-en0007-83-02964	3
clueweb09-en0001-81-21460	3
clueweb09-en0007-83-02960	3
clueweb09-en0008-14-03912	3
clueweb09-en0002-73-29696	3
clueweb09-en0010-34-03529	3
clueweb09-en0010-34-03538	3
clueweb09-en0002-90-13719	3
clueweb09-en0005-21-17612	3
clueweb09-en0002-64-21554	3
clueweb09-en0011-49-32567	3
clueweb09-en0004-73-06650	3
clueweb09-en0000-38-04626	3
clueweb09-en0002-83-24046	3
clueweb09-en0002-26-14548	3
clueweb09-en0002-83-24033	3
clueweb09-en0011-75-17953	3
clueweb09-en0009-51-27764	3
clueweb09-en0009-64-18874	3
clueweb09-en0008-14-03918	3
clueweb09-en0010-68-05220	3
clueweb09-en0011-41-00711	3
clueweb09-en0004-68-23303	3
clueweb09-en0005-33-32645	3
clueweb09-en0007-83-02962	3
clueweb09-en0010-26-19939	3
clueweb09-en0004-45-14836	3
clueweb09-en0010-85-34242	3
clueweb09-en0007-83-02967	3
clueweb09-en0001-90-24462	3
clueweb09-en0005-99-40832	3
clueweb09-en0009-64-34646	4
clueweb09-en0008-97-10988	4
clueweb09-enwp03-22-05695	4
clueweb09-enwp02-31-02756	4
clueweb09-enwp01-03-21816	4
clueweb09-enwp02-24-15887	4
clueweb09-enwp01-61-08323	4
clueweb09-enwp01-56-15671	4
clueweb09-enwp01-12-16913	4
clueweb09-enwp03-31-03401	4
clueweb09-enwp00-87-17989	4
clueweb09-enwp00-67-01677	4
clueweb09-enwp00-96-15764	4
clueweb09-enwp00-43-12310	4
clueweb09-enwp03-29-05551	4
clueweb09-enwp03-20-05232	4
clueweb09-enwp00-92-17631	4
clueweb09-enwp03-02-06502	4
clueweb09-en0006-36-17879	4
clueweb09-enwp03-23-05545	4
clueweb09-en0006-01-20573	4
clueweb09-enwp03-29-05471	4
clueweb09-enwp03-28-05818	4
clueweb09-enwp03-29-05472	4
clueweb09-enwp01-79-11952	4
clueweb09-en0010-28-39363	4
clueweb09-enwp01-05-15887	4
clueweb09-en0006-01-20567	4
clueweb09-en0010-00-28211	4
clueweb09-en0008-97-11050	4
clueweb09-en0003-91-04874	4
clueweb09-en0007-19-19771	4
clueweb09-en0001-70-09071	4
clueweb09-en0007-19-19760	4
clueweb09-en0008-96-29241	4
clueweb09-enwp00-40-24404	4
clueweb09-en0010-99-14021	4
clueweb09-en0011-92-32372	4
clueweb09-en0009-56-06001	4
clueweb09-en0010-99-13956	4
clueweb09-en0006-01-20570	4
clueweb09-en0006-01-20582	4
clueweb09-en0003-62-01663	4
clueweb09-en0011-94-06910	4
clueweb09-enwp00-54-02810	4
clueweb09-en0002-66-00013	4
clueweb09-en0004-10-21089	4
clueweb09-en0001-70-08836	4
clueweb09-en0005-22-25429	4
clueweb09-en0001-06-06340	4
clueweb09-en0011-25-31795	5
clueweb09-en0011-06-13819	5
clueweb09-enwp01-17-08297	5
clueweb09-enwp00-36-16085	5
clueweb09-enwp02-06-01125	5
clueweb09-en0007-07-05043	5
clueweb09-en0007-07-05538	5
clueweb09-en0006-04-29257	5
clueweb09-enwp01-23-02353	5
clueweb09-en0011-91-29073	5
clueweb09-enwp03-27-20810	5
clueweb09-en0007-07-05533	5
clueweb09-en0005-83-34326	5
clueweb09-enwp01-41-20610	5
clueweb09-enwp00-35-16813	5
clueweb09-enwp01-40-03554	5
clueweb09-en0005-11-41513	5
clueweb09-en0000-71-07733	5
clueweb09-en0010-02-29520	5
clueweb09-enwp01-87-03282	5
clueweb09-en0001-77-35755	5
clueweb09-en0008-22-21695	5
clueweb09-enwp01-21-19570	5
clueweb09-enwp03-14-16056	5
clueweb09-en0007-07-08324	5
clueweb09-enwp00-16-00047	5
clueweb09-en0011-26-05928	5
clueweb09-enwp01-10-23192	5
clueweb09-en0011-70-27255	5
clueweb09-en0006-38-12718	5
clueweb09-en0002-54-20114	5
clueweb09-en0011-93-19714	5
clueweb09-en0010-55-04222	5
clueweb09-en0007-07-05257	5
clueweb09-en0006-97-08104	5
clueweb09-en0007-07-05539	5
clueweb09-en0007-07-06224	5
clueweb09-en0009-92-29635	5
clueweb09-en0011-25-31331	5
clueweb09-en0011-25-31543	5
clueweb09-en0006-04-29251	5
clueweb09-en0011-79-36569	5
clueweb09-en0000-73-10974	5
clueweb09-enwp02-27-03432	5
clueweb09-enwp01-25-03432	5
clueweb09-en0007-07-04652	5
clueweb09-en0006-22-24170	5
clueweb09-en0007-07-06110	5
clueweb09-en0000-27-28560	5
clueweb09-enwp01-31-03441	5
clueweb09-en0009-64-32103	6
clueweb09-en0008-04-10909	6
clueweb09-enwp03-31-01362	6
clueweb09-en0011-23-41630	6
clueweb09-en0011-23-41655	6
clueweb09-en0008-62-31894	6
clueweb09-en0008-04-13095	6
clueweb09-en0009-64-32105	6
clueweb09-en0003-46-14414	6
clueweb09-en0009-64-32102	6
clueweb09-en0011-83-32288	6
clueweb09-en0010-71-01491	6
clueweb09-en0009-64-32104	6
clueweb09-en0008-91-29048	6
clueweb09-en0008-72-25610	6
clueweb09-en0008-04-10916	6
clueweb09-en0011-83-32289	6
clueweb09-en0003-96-19588	6
clueweb09-en0008-04-10912	6
clueweb09-en0011-10-33839	6
clueweb09-en0008-62-31897	6
clueweb09-en0001-09-33408	6
clueweb09-en0008-97-20355	6
clueweb09-en0011-25-28905	6
clueweb09-en0011-23-41540	6
clueweb09-en0007-06-15624	6
clueweb09-en0000-37-02653	6
clueweb09-en0008-62-31892	6
clueweb09-en0009-64-32097	6
clueweb09-enwp03-22-01594	6
clueweb09-enwp03-30-01501	6
clueweb09-enwp01-14-12836	6
clueweb09-enwp00-99-12978	6
clueweb09-en0008-62-31900	6
clueweb09-enwp01-16-13350	6
clueweb09-enwp01-05-13453	6
clueweb09-enwp02-24-13453	6
clueweb09-enwp01-04-13933	6
clueweb09-en0010-71-01488	6
clueweb09-en0008-04-10910	6
clueweb09-enwp01-05-17520	6
clueweb09-enwp02-24-17520	6
clueweb09-en0008-04-13017	6
clueweb09-en0002-33-23919	6
clueweb09-en0004-10-14556	6
clueweb09-en0009-73-02853	6
clueweb09-en0008-04-10921	6
clueweb09-en0008-26-13344	6
clueweb09-en0002-45-35435	6
clueweb09-enwp01-10-11661	6
clueweb09-en0009-30-10772	7
clueweb09-en0008-85-08936	7
clueweb09-en0000-73-04597	7
clueweb09-en0000-14-05156	7
clueweb09-en0007-73-07900	7
clueweb09-en0000-14-05073	7
clueweb09-en0011-69-26081	7
clueweb09-en0000-14-05176	7
clueweb09-en0004-97-08217	7
clueweb09-en0006-38-10803	7
clueweb09-en0007-54-47178	7
clueweb09-en0004-69-06088	7
clueweb09-en0000-25-32097	7
clueweb09-en0001-33-28691	7
clueweb09-en0004-97-08221	7
clueweb09-en0004-97-08213	7
clueweb09-en0004-97-08220	7
clueweb09-en0001-33-28690	7
clueweb09-en0000-14-05185	7
clueweb09-en0002-43-02204	7
clueweb09-en0004-77-32879	7
clueweb09-en0006-11-00083	7
clueweb09-en0004-28-33282	7
clueweb09-en0000-14-05148	7
clueweb09-en0006-80-13465	7
clueweb09-en0004-28-33488	7
clueweb09-enwp03-07-22346	7
clueweb09-enwp01-35-22090	7
clueweb09-en0009-89-06771	7
clueweb09-en0006-90-11721	7
